ОБЪЕКТ_НОМЕР_	РОДИТЕЛЬСКАЯ_ДИРЕКТОРИЯ	ТИП_ОБЪЕКТА	ИМЯ_ОБЪЕКТА	РАЗМЕР_В_БАЙТАХ
Объект_номер_1	D:\Python_GB\HomeWork\Lesson_08	файл	ALL_INFO_DIR_Lesson_07.json	18549
Объект_номер_2	D:\Python_GB\HomeWork\Lesson_08	файл	ALL_INFO_DIR_Lesson_07.pickle	8267
Объект_номер_3	D:\Python_GB\HomeWork\Lesson_08	файл	ALL_INFO_DIR_Lesson_07_v1.csv	7156
Объект_номер_4	D:\Python_GB\HomeWork\Lesson_08	файл	ALL_INFO_DIR_Lesson_07_v2.csv	5385
Объект_номер_5	D:\Python_GB\HomeWork\Lesson_08	файл	csv_data.json	723
Объект_номер_6	D:\Python_GB\HomeWork\Lesson_08	файл	csv_data.pickle	311
Объект_номер_7	D:\Python_GB\HomeWork\Lesson_08	файл	csv_data_pickle.csv	311
Объект_номер_8	D:\Python_GB\HomeWork\Lesson_08	файл	json_data.csv	101
Объект_номер_9	D:\Python_GB\HomeWork\Lesson_08	файл	json_data.json	219
Объект_номер_10	D:\Python_GB\HomeWork\Lesson_08	файл	json_data.pickle	142
Объект_номер_11	D:\Python_GB\HomeWork\Lesson_08	файл	result.json	162
Объект_номер_12	D:\Python_GB\HomeWork\Lesson_08	файл	result.pickle	138
Объект_номер_13	D:\Python_GB\HomeWork\Lesson_08	файл	task_1.py	4596
Объект_номер_14	D:\Python_GB\HomeWork\Lesson_08	файл	task_2.py	475
Объект_номер_15	D:\Python_GB\HomeWork\Lesson_08	файл	test.py	3613
Объект_номер_16	D:\Python_GB\HomeWork\Lesson_08	файл	test_2.py	3674
Объект_номер_17	D:\Python_GB\HomeWork\Lesson_08	директория	file_conversion	30925
Объект_номер_18	D:\Python_GB\HomeWork\Lesson_08\file_conversion	файл	functional.py	11928
Объект_номер_19	D:\Python_GB\HomeWork\Lesson_08\file_conversion	файл	__init__.py	26
Объект_номер_20	D:\Python_GB\HomeWork\Lesson_08\file_conversion	директория	__pycache__	18971
Объект_номер_21	D:\Python_GB\HomeWork\Lesson_08\file_conversion\__pycache__	файл	functional.cpython-311.pyc	18778
Объект_номер_22	D:\Python_GB\HomeWork\Lesson_08\file_conversion\__pycache__	файл	__init__.cpython-311.pyc	193
